_id,ndc11,part,rxcui,acqDate,name,labeler,deaSchedule,attribution,mpc,ingredients,ingredientsAvailable,rxnavImageObjectId,rxnavImageFileName,rxnavImageSize,nlmImageObjectId,nlmImageFileName,nlmImageSize,rxnavImageSizeFull,nlmImageSizeFull,imageSize,rxnavImageSize1024,rxnavImageSize800,nlmImageSize800,rxnavImageSize600,nlmImageSize600,rxnavImageSize300,nlmImageSize300,rxnavImageSize120,nlmImageSize120,relabelersNdc9,status,splSetId,splRootId,splVersion
{'$oid': '5a32f687eb4525ea9e82bee3'},63459-0502-30,1,261106,09-26-2013,Fentanyl 0.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;200', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688930,63459-0502-30_RXNAVIMAGE10_8641C37E.jpg,405034,168911714,63459-0502-30_NLMIMAGE10_8641C37E.jpg,269524,405034,269524.0,3643.0,198194,131568,82994.0,85745,55054.0,26586,17477.0,4516,3643.0,,,,,
{'$oid': '5a32f687eb4525ea9e82bee4'},63459-0504-30,1,262219,09-26-2013,Fentanyl 0.4 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;400', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688934,63459-0504-30_RXNAVIMAGE10_8841C43E.jpg,404170,168911718,63459-0504-30_NLMIMAGE10_8841C43E.jpg,270070,404170,270070.0,3726.0,199673,132688,84344.0,86288,55793.0,26739,17645.0,4617,3726.0,,,,,
{'$oid': '5a32f687eb4525ea9e82bee5'},63459-0506-30,1,261107,09-26-2013,Fentanyl 0.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;600', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688937,63459-0506-30_RXNAVIMAGE10_8941C4CE.jpg,413402,168911721,63459-0506-30_NLMIMAGE10_8941C4CE.jpg,277918,413402,277918.0,3895.0,202028,134347,86074.0,88045,57579.0,27285,18274.0,4686,3895.0,,,,,
{'$oid': '5a32f687eb4525ea9e82bee6'},63459-0508-30,1,261108,09-26-2013,Fentanyl 0.8 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;800', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688938,63459-0508-30_RXNAVIMAGE10_8941C4FE.jpg,402215,168911722,63459-0508-30_NLMIMAGE10_8941C4FE.jpg,267610,402215,267610.0,3704.0,198738,133217,84608.0,85961,55495.0,27041,17932.0,4558,3704.0,,,,,
{'$oid': '5a32f687eb4525ea9e82bee7'},63459-0512-30,1,261109,09-26-2013,Fentanyl 1.2 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;1200', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688940,63459-0512-30_RXNAVIMAGE10_8A41C55E.jpg,408963,168911724,63459-0512-30_NLMIMAGE10_8A41C55E.jpg,274880,408963,274880.0,3766.0,200159,133055,84649.0,87048,56360.0,26954,17943.0,4641,3766.0,,,,,
{'$oid': '5a32f687eb4525ea9e82bee8'},63459-0516-30,1,261110,09-26-2013,Fentanyl 1.6 MG Oral Lozenge [Actiq],"Cephalon, Inc.",CII,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'BULLET', 'size': 19, 'color': 'WHITE', 'imprint': 'ACTIQ;1600', 'imprintColor': 'TURQUOISE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': [], 'inactive': []}",False,185688942,63459-0516-30_RXNAVIMAGE10_8B41C5BE.jpg,405684,168911726,63459-0516-30_NLMIMAGE10_8B41C5BE.jpg,271893,405684,271893.0,3779.0,201129,133714,85231.0,87151,56536.0,26906,17890.0,4617,3779.0,,,,,
{'$oid': '5a32f688eb4525ea9e82bee9'},00093-0311-01,1,978006,11-05-2009,Loperamide Hydrochloride 2 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 14, 'color': 'BROWN, ORANGE', 'imprint': '93;311;93;311', 'imprintColor': 'WHITE', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['loperamide hydrochloride 2 mg'], 'inactive': ['dimethicone', 'gelatin', 'ferrosoferric oxide', 'ferric oxide red', 'ferric oxide yellow', 'lactose monohydrate', 'starch, corn', 'magnesium stearate', 'shellac', 'titanium dioxide']}",True,185643662,00093-0311-01_RXNAVIMAGE10_26211358.jpg,649973,168850737,00093-0311-01_NLMIMAGE10_6315B1FD.jpg,525316,649973,525316.0,5556.0,249414,161406,113608.0,99598,69417.0,30889,21618.0,6289,5556.0,"[{'@sourceNdc9': '00093-0311', 'ndc9': ['16590-0423', '21695-0692', '24236-0083', '24236-0584', '33261-0344', '43063-0020', '49999-0155', '51655-0547', '53808-0707', '54569-3707', '55289-0315', '58118-0311', '61919-0423', '63629-1452', '66336-0046', '68788-9079', '00615-8012', '50090-0460', '66267-0132', '67296-0346']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82beea'},00093-3165-01,1,197985,12-02-2009,Minocycline 50 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 16, 'color': 'PINK', 'imprint': '93;3165;93;3165', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['minocycline hydrochloride 50 mg'], 'inactive': ['starch, corn', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'd&c red no. 33', 'fd&c red no. 3', 'fd&c yellow no. 6', 'ferrosoferric oxide', 'propylene glycol', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'shellac', 'ammonia']}",True,185646490,00093-3165-01_RXNAVIMAGE10_36231B28.jpg,579432,168874706,00093-3165-01_NLMIMAGE10_19270CA8.jpg,430761,579432,430761.0,5151.0,216427,141437,90288.0,88472,55548.0,28417,18655.0,5868,5151.0,"[{'@sourceNdc9': '00093-3165', 'ndc9': ['55154-8289', '50090-1505']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82beeb'},00093-0810-01,1,198045,12-02-2009,Nortriptyline 10 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 16, 'color': 'WHITE, ORANGE', 'imprint': '10;mg;93;810', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['nortriptyline hydrochloride 10 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']}",True,185646437,00093-0810-01_RXNAVIMAGE10_24231228.jpg,591510,168874779,00093-0810-01_NLMIMAGE10_34271A58.jpg,447556,591510,447556.0,5564.0,222781,143840,97227.0,90419,60149.0,29305,20145.0,6225,5564.0,"[{'@sourceNdc9': '00093-0810', 'ndc9': ['58118-0810', '61919-0435', '63629-3204', '66336-0973', '68788-9749']}]",Former imprint,,,
{'$oid': '5a32f688eb4525ea9e82beec'},00093-0811-01,1,317136,12-02-2009,Nortriptyline 25 MG Oral Capsule,Teva Pharmaceuticals USA Inc,,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,"{'shape': 'CAPSULE', 'size': 14, 'color': 'WHITE, ORANGE', 'imprint': '25;mg;93;811', 'imprintColor': 'BLACK', 'imprintType': 'PRINTED', 'symbol': False, 'score': 1}","{'active': ['nortriptyline hydrochloride 25 mg'], 'inactive': ['starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'ferrosoferric oxide', 'methylparaben', 'propylene glycol', 'propylparaben', 'shellac', 'dimethicone', 'sodium lauryl sulfate', 'titanium dioxide', 'fd&c yellow no. 6']}",True,185646420,00093-0811-01_RXNAVIMAGE10_20231018.jpg,578649,168874695,00093-0811-01_NLMIMAGE10_15270A98.jpg,500558,578649,500558.0,7227.0,221106,143873,122120.0,89273,77865.0,28872,26431.0,6067,7227.0,"[{'@sourceNdc9': '00093-0811', 'ndc9': ['33261-0348', '49349-0682', '49999-0215', '58118-0811', '61919-0171', '67544-0078', '68788-9880', '68151-2898']}]",Former imprint,,,
